elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
1869.2,44,30,21.86,0,14311,Not Active,Not Active,Not Active
1879.3,44,30,21.79,0,14311,Not Active,Not Active,Not Active
1889.3,43,31,22.28,0,14311,Not Active,Not Active,Not Active
1899.4,43,31,22.06,0,14311,Not Active,Not Active,Not Active
1909.4,42,32,22.09,0,14311,Not Active,Not Active,Not Active
1919.5,42,32,21.84,0,14311,Not Active,Not Active,Not Active
1929.5,42,32,21.63,0,14311,Not Active,Not Active,Not Active
1939.6,52,24,199.79,65,11655,Not Active,Not Active,Not Active
1949.7,45,29,39.91,0,11625,Not Active,Not Active,Not Active
1959.7,49,25,134.78,0,12005,Not Active,Not Active,Not Active
1969.8,50,24,190.60,0,14249,Not Active,Not Active,Not Active
1979.8,45,29,22.03,0,11545,Not Active,Not Active,Not Active
1989.9,45,29,22.33,0,11545,Not Active,Not Active,Not Active
1999.9,44,30,22.08,0,11545,Not Active,Not Active,Not Active
2009.9,43,31,22.06,0,11545,Not Active,Not Active,Not Active
2020.0,43,31,22.09,0,11545,Not Active,Not Active,Not Active
2030.1,43,31,22.07,0,11545,Not Active,Not Active,Not Active
2040.1,42,32,22.09,0,11545,Not Active,Not Active,Not Active
2050.1,42,32,21.67,0,11545,Not Active,Not Active,Not Active
2060.2,42,32,21.95,1,11545,Not Active,Not Active,Not Active
2070.2,45,29,73.78,0,11683,Not Active,Not Active,Not Active
2080.3,48,23,83.21,2,11447,Not Active,Not Active,Not Active
2090.3,52,22,267.00,0,14149,Not Active,Not Active,Not Active
2100.4,46,28,23.35,0,11621,Not Active,Not Active,Not Active
2110.4,45,29,22.92,0,11621,Not Active,Not Active,Not Active
2120.5,44,30,22.17,0,11621,Not Active,Not Active,Not Active
2130.5,44,30,22.10,0,11621,Not Active,Not Active,Not Active
2140.7,43,31,22.27,0,11621,Not Active,Not Active,Not Active
2150.7,43,31,21.92,0,11621,Not Active,Not Active,Not Active
2160.7,45,30,70.54,0,11685,Not Active,Not Active,Not Active
2170.8,42,32,21.57,0,11685,Not Active,Not Active,Not Active
2180.8,42,32,21.76,0,11685,Not Active,Not Active,Not Active
2190.9,49,19,128.93,0,11627,Not Active,Not Active,Not Active
2200.9,47,26,81.32,0,14285,Not Active,Not Active,Not Active
2211.0,55,12,178.30,82,11635,Not Active,Not Active,Not Active
2221.0,48,26,56.83,0,11753,Not Active,Not Active,Not Active
2231.1,45,29,22.05,0,11753,Not Active,Not Active,Not Active
2241.1,45,29,21.96,0,11753,Not Active,Not Active,Not Active
2251.2,44,30,21.67,0,11753,Not Active,Not Active,Not Active
2261.2,44,30,22.42,1,11753,Not Active,Not Active,Not Active
2271.3,43,31,21.75,0,11753,Not Active,Not Active,Not Active
2281.3,43,31,21.35,0,11753,Not Active,Not Active,Not Active
2291.4,42,32,21.48,4,11753,Not Active,Not Active,Not Active
2301.5,42,32,21.62,0,11753,Not Active,Not Active,Not Active
2311.5,42,32,21.99,1,11753,Not Active,Not Active,Not Active
2321.5,48,26,183.76,0,11745,Not Active,Not Active,Not Active
2331.6,45,29,39.81,0,11645,Not Active,Not Active,Not Active
2341.6,64,10,184.61,100,14299,Not Active,Not Active,Not Active
2351.7,47,27,40.28,0,11745,Not Active,Not Active,Not Active
2361.7,45,29,22.51,0,11745,Not Active,Not Active,Not Active
2371.8,45,30,21.72,0,11745,Not Active,Not Active,Not Active
2381.8,44,30,21.72,0,11745,Not Active,Not Active,Not Active
2391.9,43,31,21.64,0,11745,Not Active,Not Active,Not Active
2401.9,43,31,21.76,0,11745,Not Active,Not Active,Not Active
2412.0,43,31,22.42,19,11745,Not Active,Not Active,Not Active
2422.0,42,32,21.90,0,11745,Not Active,Not Active,Not Active
2432.1,42,32,21.68,0,11745,Not Active,Not Active,Not Active
2442.1,47,27,128.05,0,14299,Not Active,Not Active,Not Active
2452.2,45,30,58.59,0,11669,Not Active,Not Active,Not Active
2462.2,62,23,187.38,100,11669,Not Active,Not Active,Not Active
2472.3,47,27,52.53,0,11747,Not Active,Not Active,Not Active
2482.3,59,24,133.83,97,11657,Not Active,Not Active,Not Active
2492.3,50,24,84.37,0,14351,Not Active,Not Active,Not Active
2502.4,45,29,22.36,0,14351,Not Active,Not Active,Not Active
2512.4,45,29,22.12,0,14351,Not Active,Not Active,Not Active
2522.5,44,30,21.93,0,14351,Not Active,Not Active,Not Active
2532.5,43,31,22.06,0,14351,Not Active,Not Active,Not Active
2542.6,43,31,21.79,0,14351,Not Active,Not Active,Not Active
2552.6,43,31,21.93,0,14351,Not Active,Not Active,Not Active
2562.7,42,32,22.26,0,14351,Not Active,Not Active,Not Active
2572.7,42,32,21.77,0,14351,Not Active,Not Active,Not Active
2582.8,58,13,99.08,100,14351,Not Active,Not Active,Not Active
2592.9,50,16,179.82,0,11825,Not Active,Not Active,Not Active
2602.9,46,28,40.26,0,11641,Not Active,Not Active,Not Active
2613.0,49,25,82.91,0,11621,Not Active,Not Active,Not Active
2623.0,51,24,224.49,0,14259,Not Active,Not Active,Not Active
2633.1,46,28,22.89,0,14259,Not Active,Not Active,Not Active
2643.1,45,29,22.45,0,14259,Not Active,Not Active,Not Active
2653.1,44,30,22.40,0,14259,Not Active,Not Active,Not Active
2663.2,44,30,22.34,1,14259,Not Active,Not Active,Not Active
2673.2,43,31,22.22,1,14259,Not Active,Not Active,Not Active
2683.3,43,31,22.28,0,14259,Not Active,Not Active,Not Active
2693.3,43,31,22.01,0,14259,Not Active,Not Active,Not Active
2703.4,42,32,21.69,0,14259,Not Active,Not Active,Not Active
2713.4,42,19,21.90,1,11649,Not Active,Not Active,Not Active
2723.5,51,26,172.62,0,10729,Not Active,Not Active,Not Active
2733.6,51,23,199.55,0,14341,Not Active,Not Active,Not Active
2743.6,48,26,46.13,0,11633,Not Active,Not Active,Not Active
2753.7,46,28,22.50,0,11633,Not Active,Not Active,Not Active
2763.8,45,29,22.37,0,11633,Not Active,Not Active,Not Active
2773.8,44,30,22.30,0,11633,Not Active,Not Active,Not Active
2783.9,44,30,22.53,0,11633,Not Active,Not Active,Not Active
2794.0,43,31,21.75,0,11633,Not Active,Not Active,Not Active
2804.0,43,31,22.26,1,11633,Not Active,Not Active,Not Active
2814.1,43,31,21.78,0,11633,Not Active,Not Active,Not Active
2824.1,42,32,21.91,0,11633,Not Active,Not Active,Not Active
2834.2,47,27,161.67,0,11749,Not Active,Not Active,Not Active
2844.2,64,11,202.86,100,14309,Not Active,Not Active,Not Active
2854.3,49,25,158.50,0,14347,Not Active,Not Active,Not Active
2864.3,59,24,60.02,98,11499,Not Active,Not Active,Not Active
2874.4,47,27,40.15,0,11651,Not Active,Not Active,Not Active
2884.4,46,28,22.28,0,11651,Not Active,Not Active,Not Active
2894.4,45,29,21.83,0,11651,Not Active,Not Active,Not Active
2904.5,44,30,21.94,0,11651,Not Active,Not Active,Not Active
2914.6,44,30,21.66,0,11651,Not Active,Not Active,Not Active
