elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
3326.9,47,18,35.69,22,11641,Not Active,Not Active,Not Active
3336.9,46,28,22.02,0,11749,Not Active,Not Active,Not Active
3347.0,45,29,22.70,0,11749,Not Active,Not Active,Not Active
3357.0,44,30,22.25,0,11749,Not Active,Not Active,Not Active
3367.1,44,30,21.39,0,11749,Not Active,Not Active,Not Active
3377.1,43,31,21.76,0,11749,Not Active,Not Active,Not Active
3387.2,43,31,21.78,0,11749,Not Active,Not Active,Not Active
3397.2,43,31,21.38,0,11749,Not Active,Not Active,Not Active
3407.3,42,32,21.65,0,11749,Not Active,Not Active,Not Active
3417.3,42,32,21.73,0,11749,Not Active,Not Active,Not Active
3427.4,49,26,165.96,0,12089,Not Active,Not Active,Not Active
3437.4,45,29,28.52,0,11633,Not Active,Not Active,Not Active
3447.5,51,13,156.67,0,14321,Not Active,Not Active,Not Active
3457.6,47,27,26.74,1,10765,Not Active,Not Active,Not Active
3467.7,46,28,22.39,0,11829,Not Active,Not Active,Not Active
3477.8,45,29,22.37,0,11829,Not Active,Not Active,Not Active
3487.9,44,30,22.02,0,11829,Not Active,Not Active,Not Active
3497.9,44,30,21.94,0,11829,Not Active,Not Active,Not Active
3508.0,43,31,21.91,0,11829,Not Active,Not Active,Not Active
3518.0,43,31,21.58,0,11829,Not Active,Not Active,Not Active
3528.1,43,31,21.91,0,11829,Not Active,Not Active,Not Active
3538.1,42,32,21.18,0,11829,Not Active,Not Active,Not Active
3548.2,42,32,21.39,0,11829,Not Active,Not Active,Not Active
3558.3,44,30,72.18,0,14427,Not Active,Not Active,Not Active
3568.3,48,13,82.66,0,11723,Not Active,Not Active,Not Active
3578.4,59,9,175.02,67,14317,Not Active,Not Active,Not Active
3588.5,46,17,24.23,1,11847,Not Active,Not Active,Not Active
3598.5,47,27,34.68,0,14489,Not Active,Not Active,Not Active
3608.6,45,29,22.15,0,14489,Not Active,Not Active,Not Active
3618.6,45,29,22.21,0,14489,Not Active,Not Active,Not Active
3628.7,44,30,22.08,0,14489,Not Active,Not Active,Not Active
3638.7,44,30,21.53,1,14489,Not Active,Not Active,Not Active
3648.8,43,31,21.63,0,14489,Not Active,Not Active,Not Active
3658.8,43,31,22.23,0,14489,Not Active,Not Active,Not Active
3668.8,43,31,21.74,0,14489,Not Active,Not Active,Not Active
3678.9,42,32,22.09,0,14489,Not Active,Not Active,Not Active
3688.9,50,26,205.50,0,11509,Not Active,Not Active,Not Active
3699.0,59,9,114.10,100,14309,Not Active,Not Active,Not Active
3709.0,50,12,155.87,0,14303,Not Active,Not Active,Not Active
3719.0,52,23,235.36,0,14361,Not Active,Not Active,Not Active
3729.1,46,28,22.72,0,14361,Not Active,Not Active,Not Active
3739.1,45,29,22.03,0,14361,Not Active,Not Active,Not Active
3749.2,45,29,22.16,0,14361,Not Active,Not Active,Not Active
3759.2,44,30,22.04,0,14361,Not Active,Not Active,Not Active
3769.3,44,30,22.32,1,14361,Not Active,Not Active,Not Active
3779.3,43,31,22.19,0,14361,Not Active,Not Active,Not Active
3789.4,43,31,21.74,0,14361,Not Active,Not Active,Not Active
3799.4,43,31,21.49,0,14361,Not Active,Not Active,Not Active
3809.5,42,31,21.45,0,11233,Not Active,Not Active,Not Active
3819.5,49,18,170.27,0,12153,Not Active,Not Active,Not Active
3829.6,45,29,36.12,0,10729,Not Active,Not Active,Not Active
3839.6,47,27,59.49,0,11607,Not Active,Not Active,Not Active
3849.7,58,13,85.52,2,11461,Not Active,Not Active,Not Active
3859.7,46,28,22.21,0,11461,Not Active,Not Active,Not Active
3869.8,45,29,22.19,0,11461,Not Active,Not Active,Not Active
3879.8,45,29,22.07,0,11461,Not Active,Not Active,Not Active
3889.9,44,30,21.88,0,11461,Not Active,Not Active,Not Active
3899.9,44,30,22.20,0,11461,Not Active,Not Active,Not Active
